,red_fighter_name,blue_fighter_name,method,round,time,bout_type,bonus,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_wins,red_losses,red_draws,red_height_cm,red_weight_in_kg,red_significant_strikes_landed_per_minute,red_significant_striking_accuracy,red_significant_strikes_absorbed_per_minute,red_significant_strike_defence,red_average_takedowns_landed_per_15_minutes,red_takedown_accuracy,red_takedown_defense,red_average_submissions_attempted_per_15_minutes,blue_wins,blue_losses,blue_draws,blue_height_cm,blue_significant_strikes_landed_per_minute,blue_significant_striking_accuracy,blue_significant_strikes_absorbed_per_minute,blue_significant_strike_defence,blue_average_takedowns_landed_per_15_minutes,blue_takedown_accuracy,blue_takedown_defense,blue_average_submissions_attempted_per_15_minutes,who_wins,red_fighter_sig_str_landed,blue_fighter_sig_str_landed,red_fighter_total_str_landed,blue_fighter_total_str_landed,red_fighter_TD_landed,red_fighter_TD_attempted,blue_fighter_TD_landed,blue_fighter_TD_attempted,red_fighter_sig_str_body_landed,blue_fighter_sig_str_body_landed,red_fighter_sig_str_leg_landed,blue_fighter_sig_str_leg_landed,red_fighter_sig_str_clinch_landed,blue_fighter_sig_str_clinch_landed,red_fighter_sig_str_ground_landed,blue_fighter_sig_str_ground_landed,red_fighter_age,blue_fighter_age,blue_fighter_stats_missing,red_fighter_stats_missing
0,ILIA TOPURIA,MAX HOLLOWAY,KO/TKO,3,94,UFC Featherweight Title Bout,belt,0,0,52.0,38.0,100.0,0.0,0,0,0,0,45.0,0,65.0,59,14.0,16.0,20.0,24.0,94.0,100.0,0,0,5,0.0,14.0,0.0,0.0,170.18,65.77,4.44,46.0,3.05,67.0,2.19,56.0,92.0,1.5,25.0,7.0,0.0,180.34,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,Red,75.0,79.0,78.0,84.0,2,2,0.0,0,11,13,15.0,19.0,0,0,4,0.0,28.0,33.0,0,0
1,ROBERT WHITTAKER,KHAMZAT CHIMAEV,Submission,1,214,Middleweight Bout,perf,0,0,85.0,75.0,0.0,50.0,0,0,0,0,0.0,200,3.5,66,0.0,33.0,56.5,0.0,100.0,28.5,0,0,0,27.5,25.0,7.0,0.0,182.88,83.91,4.47,42.0,3.39,60.0,0.85,39.0,82.0,0.0,13.0,0.0,0.0,187.96,5.72,58.0,3.46,42.0,3.99,46.0,100.0,1.7499999999999998,Blue,2.0,3.0,2.0,25.0,0,0,2.0,4,0,1,2.0,0.0,0,0,0,3.0,34.0,30.0,0,0
2,MAGOMED ANKALAEV,ALEKSANDAR RAKIC,Decision - Unanimous,3,300,Light Heavyweight Bout,No bonus,0,0,48.0,45.0,0.0,0.0,0,0,0,0,91.0,60,36.0,18,40.0,16.0,23.0,57.5,90.0,94.0,9,5,0,0.0,18.0,1.0,0.0,190.5,92.99,3.56,52.0,2.2,58.0,1.07,31.0,86.0,0.0,14.0,3.0,0.0,193.04,4.01,50.0,2.3,53.0,0.82,25.0,90.0,0.2,Red,55.0,53.0,75.0,59.0,0,0,0.0,1,22,9,13.0,23.5,5,3,0,0.0,32.0,32.0,0,0
3,LERONE MURPHY,DAN IGE,Decision - Unanimous,3,300,Featherweight Bout,No bonus,0,0,52.0,43.0,60.0,33.0,0,0,0,0,137.0,287,69.0,76,23.0,10.0,7.0,13.0,71.0,69.0,23,13,5,17.0,13.0,0.0,0.0,175.26,65.77,3.65,50.0,2.4,56.0,1.29,46.0,46.0,0.9,17.0,7.0,0.0,170.18,3.76,45.0,3.53,57.0,1.07,26.0,58.0,0.3,Red,52.0,46.0,78.0,52.0,3,5,1.0,3,12,5,4.0,6.0,12,6,3,8.0,33.0,33.0,0,0
4,SHARA MAGOMEDOV,ARMEN PETROSYAN,KO/TKO,2,292,Middleweight Bout,perf,0,0,61.0,55.0,0.0,0.0,0,0,0,0,2.0,21,36.0,28,44.0,12.0,18.0,57.5,96.0,97.0,3,2,0,0.0,12.0,0.0,0.0,187.96,83.91,7.450000000000001,67.0,4.33,35.5,0.0,0.0,57.0,0.0,9.0,2.0,0.0,190.5,5.97,52.0,3.03,56.0,0.23,33.0,36.0,0.0,Red,65.0,77.0,67.0,77.0,0,0,0.0,0,29,10,12.0,23.5,2,2,0,0.0,30.0,34.0,0,0
5,IBO ASLAN,RAFAEL CERQUEIRA,KO/TKO,1,51,Light Heavyweight Bout,No bonus,0,0,77.0,83.0,0.0,0.0,0,0,0,0,0.0,0,92.0,0,7.0,0.0,0.0,57.5,100.0,100.0,0,0,0,0.0,12.0,1.0,0.0,190.5,92.99,7.450000000000001,67.0,3.38,63.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,176.98700757575756,0.10000000000000009,27.0,0.30499999999999927,31.625,0.0,0.0,5.0,0.0,Red,28.0,1.0,28.0,1.0,0,0,0.0,0,2,0,0.0,1.0,0,0,0,0.0,28.0,32.94502369668246,1,0
6,GEOFF NEAL,RAFAEL DOS ANJOS,KO/TKO,1,90,Welterweight Bout,No bonus,0,0,60.0,30.0,100.0,0.0,0,0,0,0,27.0,0,66.0,50,16.0,25.0,16.0,25.0,72.0,100.0,0,0,27,0.0,15.0,5.0,0.0,180.34,77.11,5.22,50.0,5.6,58.0,0.51,44.0,87.0,0.1,30.0,13.0,0.0,172.72,3.52,47.0,3.19,60.0,2.01,35.0,56.0,0.6,Red,18.0,4.0,21.0,4.0,1,1,0.0,0,3,1,3.0,1.0,0,0,5,0.0,34.0,40.0,0,0
7,MATEUSZ REBECKI,MYKTYBEK OROLBAI,Decision - Split,3,300,Catch Weight Bout,fight,0,0,48.0,45.0,75.0,40.0,0,0,0,0,144.0,125,73.0,75,14.0,9.0,12.0,14.0,76.0,98.0,7,0,16,1.0,18.0,1.0,0.0,170.18,70.31,5.31,53.0,2.01,63.0,4.16,72.0,66.0,1.6,12.0,1.0,0.0,177.8,0.87,40.0,1.52,48.0,4.55625,70.0,5.0,1.6,Red,71.0,61.0,93.0,85.0,3,4,2.0,5,10,6,9.0,9.0,5,0,12,1.0,32.0,26.0,0,0
8,ABUS MAGOMEDOV,BRUNNO FERREIRA,Submission,3,194,Middleweight Bout,No bonus,0,0,44.0,40.0,50.0,0.0,0,0,0,0,216.0,13,38.0,68,30.0,31.0,30.0,0.0,100.0,89.0,0,3,0,6.0,25.0,6.0,0.0,187.96,83.91,3.73,42.0,5.36,54.0,0.61,50.0,100.0,0.0,10.0,1.0,0.0,177.8,5.79,53.0,5.22,47.0,0.0,0.0,50.0,0.0,Red,26.0,29.0,45.0,36.0,4,8,0.0,0,8,9,8.0,0.0,0,1,0,2.0,34.0,32.0,0,0
9,KENNEDY NZECHUKWU,CHRIS BARNETT,KO/TKO,1,267,Heavyweight Bout,No bonus,0,0,68.0,35.0,0.0,0.0,0,0,0,0,0.0,0,54.0,25,43.0,16.0,1.0,57.5,98.0,100.0,0,0,1,0.0,12.0,4.0,0.0,195.58,92.99,4.86,46.0,4.27,51.0,0.68,50.0,80.0,0.3,23.0,8.0,0.0,175.26,4.41,48.0,5.87,40.0,0.0,0.0,33.0,0.0,Red,51.0,12.0,51.0,12.0,0,0,0.0,1,22,2,1.0,7.0,0,0,1,0.0,32.0,38.0,0,0
